,chromosome,gene_add,start_add,end_add,strand_add,biotype_add,gene_remove,start_remove,end_remove,strand_remove,biotype_remove,ID_remove,ID_add,overlap,overlap_percentage_add,overlap_percentage_remove,synonym,overlapping_in_MANE,gene_add_protein_length,gene_remove_protein_length,gene_remove_in_MANE,action
0,chr1,NHSL3,32601643,32634754,+,protein_coding,KIAA1522,32601643,32634754,+,protein_coding,KIAA1522,NHSL3,33111,1.0,1.0,True,False,1094,1094,False,RENAME KIAA1522 to NHSL3
1,chr1,CFAP144,43018394,43026887,+,protein_coding,FAM183A,43013445,43026887,+,protein_coding,FAM183A,CFAP144,8493,1.0,0.6318256211873233,True,False,134,150,False,RENAME FAM183A to CFAP144
2,chr1,CIMAP2,54686281,54722525,+,protein_coding,LEXM,54686281,54722525,+,protein_coding,LEXM,CIMAP2,36244,1.0,1.0,True,False,418,435,False,RENAME LEXM to CIMAP2
3,chr1,EEIG2,108593088,108672314,+,protein_coding,FAM102B,108593088,108672314,+,protein_coding,FAM102B,EEIG2,79226,1.0,1.0,True,False,360,360,False,RENAME FAM102B to EEIG2
4,chr1,CIMAP3,111361308,111367696,+,protein_coding,PIFO,111339352,111367700,+,protein_coding,PIFO,CIMAP3,6388,1.0,0.2253421758148723,True,False,191,241,False,RENAME PIFO to CIMAP3
5,chr1,KPLCE,151856064,151857012,+,protein_coding,C1orf68,151856064,151857012,+,protein_coding,C1orf68,KPLCE,948,1.0,1.0,True,False,250,250,False,RENAME C1orf68 to KPLCE
6,chr1,FIRRM,169150819,169209809,+,protein_coding,C1orf112,169139615,169209809,+,protein_coding,C1orf112,FIRRM,58990,1.0,0.8403852181098099,True,False,853,911,False,RENAME C1orf112 to FIRRM
7,chr1,H2BC26,227646615,227647070,+,protein_coding,H2BU1,227646615,227647070,+,protein_coding,H2BU1,H2BC26,455,1.0,1.0,True,False,126,126,False,RENAME H2BU1 to H2BC26
8,chr1,SPMIP3,243768961,243806036,+,protein_coding,C1orf100,243768961,243806036,+,protein_coding,C1orf100,SPMIP3,37075,1.0,1.0,True,False,147,169,False,RENAME C1orf100 to SPMIP3
9,chr1,OR14L1,247053967,247059214,+,protein_coding,OR14L1P,247053967,247059214,+,protein_coding,OR14L1P,OR14L1,5247,1.0,1.0,True,False,325,325,False,RENAME OR14L1P to OR14L1
10,chr1,AIRIM,37546290,37555256,-,protein_coding,C1orf109,37546290,37556969,-,protein_coding,C1orf109,AIRIM,8966,1.0,0.839591722071355,True,False,203,281,False,RENAME C1orf109 to AIRIM
11,chr1,IFT25,53804471,53828607,-,protein_coding,HSPB11,53794486,53829213,-,protein_coding,HSPB11,IFT25,24136,1.0,0.695021165087684,True,False,144,214,False,RENAME HSPB11 to IFT25
12,chr1,GBA1,154373009,154379807,-,protein_coding,GBA,154373009,154383185,-,protein_coding,GBA,GBA1,6798,1.0,0.6680424528301887,True,False,536,536,False,RENAME GBA to GBA1
13,chr1,ENTREP3,154385763,154394041,-,protein_coding,FAM189B,154385763,154394041,-,protein_coding,FAM189B,ENTREP3,8278,1.0,1.0,True,False,668,669,False,RENAME FAM189B to ENTREP3
14,chr1,H2AC25,227645876,227646385,-,protein_coding,H2AW,227645876,227646385,-,protein_coding,H2AW,H2AC25,509,1.0,1.0,True,False,130,130,False,RENAME H2AW to H2AC25
15,chr2,CIMIP5,11165528,11183718,+,protein_coding,C2orf50,11165528,11186977,+,protein_coding,C2orf50,CIMIP5,18190,1.0,0.8480581845307473,True,False,162,162,False,RENAME C2orf50 to CIMIP5
16,chr2,CIMIP2C,26601745,26618672,+,protein_coding,FAM166C,26601745,26618672,+,protein_coding,FAM166C,CIMIP2C,16927,1.0,1.0,True,False,201,235,False,RENAME FAM166C to CIMIP2C
17,chr2,SPATA31H1,27579747,27625808,+,protein_coding,C2orf16,27579747,27625808,+,protein_coding,C2orf16,SPATA31H1,46061,1.0,1.0,True,False,5388,5388,False,RENAME C2orf16 to SPATA31H1
18,chr2,CIMIP6,54327057,54355776,+,protein_coding,C2orf73,54327057,54378389,+,protein_coding,C2orf73,CIMIP6,28719,1.0,0.5594755707940466,True,False,287,345,False,RENAME C2orf73 to CIMIP6
19,chr2,SPMIP9,88536655,88541591,+,protein_coding,TEX37,88536655,88541591,+,protein_coding,TEX37,SPMIP9,4936,1.0,1.0,True,False,180,180,False,RENAME TEX37 to SPMIP9
20,chr2,ZNG1B,113862219,113920733,+,protein_coding,CBWD2,113862219,113920733,+,protein_coding,CBWD2,ZNG1B,58514,1.0,1.0,True,False,395,395,False,RENAME CBWD2 to ZNG1B
21,chr2,IFT70B,178031273,178035071,-,protein_coding,TTC30B,178031273,178035071,-,protein_coding,TTC30B,IFT70B,3798,1.0,1.0,True,False,665,665,False,RENAME TTC30B to IFT70B
22,chr2,IFT70A,178095311,178101054,-,protein_coding,TTC30A,178095311,178101054,-,protein_coding,TTC30A,IFT70A,5743,1.0,1.0,True,False,665,665,False,RENAME TTC30A to IFT70A
23,chr2,HYCC2,201457164,201555113,-,protein_coding,FAM126B,201457164,201555113,-,protein_coding,FAM126B,HYCC2,97949,1.0,1.0,True,False,586,586,False,RENAME FAM126B to HYCC2
24,chr2,MSL3B,234353465,234357190,-,protein_coding,MSL3P1,234354240,234357213,-,transcribed_pseudogene,MSL3P1,MSL3B,2950,0.7919463087248322,0.9922637066935756,True,False,356,0,False,RENAME MSL3P1 to MSL3B
25,chr3,CRIPTO,46593877,46598545,+,protein_coding,TDGF1,46590623,46598545,+,protein_coding,TDGF1,CRIPTO,4668,1.0,0.5892451401161323,True,False,188,188,False,RENAME TDGF1 to CRIPTO
26,chr3,UQCC5,52569505,52574786,+,protein_coding,SMIM4,52569505,52574786,+,protein_coding,SMIM4,UQCC5,5281,1.0,1.0,True,False,70,70,False,RENAME SMIM4 to UQCC5
27,chr3,CEP15,62362532,62379727,+,protein_coding,C3orf14,62362532,62379727,+,protein_coding,C3orf14,CEP15,17195,1.0,1.0,True,False,128,128,False,RENAME C3orf14 to CEP15
28,chr3,CSNK2A2IP,88414407,88543775,+,protein_coding,CSNKA2IP,88414407,88543775,+,protein_coding,CSNKA2IP,CSNK2A2IP,129368,1.0,1.0,True,False,734,719,False,RENAME CSNKA2IP to CSNK2A2IP
29,chr3,PRR23E,129925627,129930684,+,protein_coding,C3orf56,129925627,129930684,+,protein_coding,C3orf56,PRR23E,5057,1.0,1.0,True,False,242,242,False,RENAME C3orf56 to PRR23E
30,chr3,CIMIP7,49205702,49219926,-,protein_coding,C3orf84,49205702,49219926,-,protein_coding,C3orf84,CIMIP7,14224,1.0,1.0,True,False,204,205,False,RENAME C3orf84 to CIMIP7
31,chr4,NICOL1,2040482,2042451,+,protein_coding,C4orf48,2035065,2042451,+,protein_coding,C4orf48,NICOL1,1969,1.0,0.2665854318981857,True,False,95,151,False,RENAME C4orf48 to NICOL1
32,chr4,SPMAP2L,60018614,60091522,+,protein_coding,THEGL,60018614,60114234,+,protein_coding,THEGL,SPMAP2L,72908,1.0,0.7624764693578749,True,False,465,486,False,RENAME THEGL to SPMAP2L
33,chr4,BLTP1,125456397,125666898,+,protein_coding,KIAA1109,125456397,125666898,+,protein_coding,KIAA1109,BLTP1,210501,1.0,1.0,True,False,5093,5093,False,RENAME KIAA1109 to BLTP1
34,chr4,AFG2A,126227197,126623517,+,protein_coding,SPATA5,126227197,126623517,+,protein_coding,SPATA5,AFG2A,396320,1.0,1.0,True,False,893,917,False,RENAME SPATA5 to AFG2A
35,chr4,CFAP96,188769596,188793104,+,protein_coding,C4orf47,188751767,188793104,+,protein_coding,C4orf47,CFAP96,23508,1.0,0.568691487045504,True,False,309,309,False,RENAME C4orf47 to CFAP96
36,chr4,CFAP184,7012684,7014836,-,protein_coding,CCDC96,7012684,7014836,-,protein_coding,CCDC96,CFAP184,2152,1.0,1.0,True,False,555,555,False,RENAME CCDC96 to CFAP184
37,chr4,SPMIP2,162243906,162386000,-,protein_coding,C4orf45,162243906,162433698,-,protein_coding,C4orf45,SPMIP2,142094,1.0,0.748682768504468,True,False,186,186,False,RENAME C4orf45 to SPMIP2
38,chr4,GK3,168623800,168625697,-,protein_coding,GK3P,168623800,168625697,-,protein_coding,GK3P,GK3,1897,1.0,1.0,True,False,553,553,False,RENAME GK3P to GK3
39,chr5,KGD4,70040372,70055914,+,protein_coding,MRPS36,70040372,70055914,+,protein_coding,MRPS36,KGD4,15542,1.0,1.0,True,False,103,103,False,RENAME MRPS36 to KGD4
40,chr5,SPMIP10,127148570,127153149,+,protein_coding,TEX43,127148570,127153149,+,protein_coding,TEX43,SPMIP10,4579,1.0,1.0,True,False,134,134,False,RENAME TEX43 to SPMIP10
41,chr5,CFAP90,7769514,7790256,-,protein_coding,C5orf49,7769514,7790256,-,protein_coding,C5orf49,CFAP90,20742,1.0,1.0,True,False,147,147,False,RENAME C5orf49 to CFAP90
42,chr5,ARB2A,94101790,94595720,-,protein_coding,FAM172A,94101790,94595756,-,protein_coding,FAM172A,ARB2A,493930,1.0,0.9999271204900744,True,False,416,416,False,RENAME FAM172A to ARB2A
43,chr5,SKIC3,95964834,96055916,-,protein_coding,TTC37,95964834,96055916,-,protein_coding,TTC37,SKIC3,91082,1.0,1.0,True,False,1564,1564,False,RENAME TTC37 to SKIC3
44,chr5,FAM200C,160921640,160928543,-,protein_coding,ZBED8,160921640,160928543,-,protein_coding,ZBED8,FAM200C,6903,1.0,1.0,True,False,594,594,False,RENAME ZBED8 to FAM200C
45,chr6,PRP4K,3890936,3934285,+,protein_coding,PRPF4B,3890936,3934285,+,protein_coding,PRPF4B,PRP4K,43349,1.0,1.0,True,False,1007,1007,False,RENAME PRPF4B to PRP4K
46,chr6,SKIC2,31812380,31822956,+,protein_coding,SKIV2L,31812380,31822956,+,protein_coding,SKIV2L,SKIC2,10576,1.0,1.0,True,False,1246,1246,False,RENAME SKIV2L to SKIC2
47,chr6,BLTP3A,34614874,34700320,+,protein_coding,UHRF1BP1,34614874,34700320,+,protein_coding,UHRF1BP1,BLTP3A,85446,1.0,1.0,True,False,1440,1440,False,RENAME UHRF1BP1 to BLTP3A
48,chr6,CIMIP3,41983624,41991617,+,protein_coding,GUCA1ANB,41983624,41991617,+,protein_coding,GUCA1ANB,CIMIP3,7993,1.0,1.0,True,False,112,127,False,RENAME GUCA1ANB to CIMIP3
49,chr6,SCAND3,28441914,28458672,-,protein_coding,ZBED9,28441914,28487574,-,protein_coding,ZBED9,SCAND3,16758,1.0,0.3670170827858081,True,False,1325,1325,False,RENAME ZBED9 to SCAND3
50,chr6,MTCL3,128661901,128708261,-,protein_coding,SOGA3,128661901,128708261,-,protein_coding,SOGA3,MTCL3,46360,1.0,1.0,True,False,947,947,False,RENAME SOGA3 to MTCL3
51,chr7,SPMIP7,50257048,50320459,+,protein_coding,SPATA48,50257048,50320459,+,protein_coding,SPATA48,SPMIP7,63411,1.0,1.0,True,False,438,438,False,RENAME SPATA48 to SPMIP7
52,chr7,SSU72L6,125793835,125795182,+,protein_coding,SSU72P8,125793889,125794473,+,pseudogene,SSU72P8,SSU72L6,584,0.4335560504825538,1.0,True,False,194,0,False,RENAME SSU72P8 to SSU72L6
53,chr7,SPMIP1,130179257,130184974,+,protein_coding,ATP6V1FNB,130179257,130184974,+,protein_coding,ATP6V1FNB,SPMIP1,5717,1.0,1.0,True,False,176,176,False,RENAME ATP6V1FNB to SPMIP1
54,chr7,IFT56,140447060,140505276,+,protein_coding,TTC26,140447060,140505276,+,protein_coding,TTC26,IFT56,58216,1.0,1.0,True,False,554,554,False,RENAME TTC26 to IFT56
55,chr7,SMIM10L3,6448805,6468359,-,protein_coding,SAGSIN1,6448805,6468359,-,protein_coding,SAGSIN1,SMIM10L3,19554,1.0,1.0,True,False,68,68,False,RENAME SAGSIN1 to SMIM10L3
56,chr7,HYCC1,23070797,23150674,-,protein_coding,FAM126A,23032434,23150674,-,protein_coding,FAM126A,HYCC1,79877,1.0,0.6755497293640054,True,False,521,521,False,RENAME FAM126A to HYCC1
57,chr7,SPMIP4,25269958,25315624,-,protein_coding,C7orf31,25261042,25315624,-,protein_coding,C7orf31,SPMIP4,45666,1.0,0.8366494448719358,True,False,590,590,False,RENAME C7orf31 to SPMIP4
58,chr7,MATCAP2,36465400,36508503,-,protein_coding,KIAA0895,36465400,36531625,-,protein_coding,KIAA0895,MATCAP2,43103,1.0,0.6508569271423179,True,False,517,555,False,RENAME KIAA0895 to MATCAP2
59,chr7,SAMTOR,114138029,114258806,-,protein_coding,BMT2,114138029,114258806,-,protein_coding,BMT2,SAMTOR,120777,1.0,1.0,True,False,405,405,False,RENAME BMT2 to SAMTOR
60,chr8,FAM90A13,11746670,11749680,+,protein_coding,FAM90A13P,11745009,11750242,+,pseudogene,FAM90A13P,FAM90A13_3,3010,1.0,0.5751958723485572,True,False,464,0,False,RENAME FAM90A13P to FAM90A13_3
61,chr8,FAM90A12,11769614,11772624,+,protein_coding,FAM90A12P,11767953,11773186,+,pseudogene,FAM90A12P_1,FAM90A12_4,3010,1.0,0.5751958723485572,True,False,464,0,False,RENAME FAM90A12P_1 to FAM90A12_4
62,chr8,FAM90A12,11777267,11780277,+,protein_coding,FAM90A12P,11775601,11780839,+,pseudogene,FAM90A12P_5,FAM90A12_2,3010,1.0,0.5746468117602138,True,False,464,0,False,RENAME FAM90A12P_5 to FAM90A12_2
63,chr8,FAM90A12,11838446,11841456,+,protein_coding,FAM90A12P,11836785,11842018,+,pseudogene,FAM90A12P_2,FAM90A12_5,3010,1.0,0.5751958723485572,True,False,464,0,False,RENAME FAM90A12P_2 to FAM90A12_5
64,chr8,FAM90A12,11861390,11864400,+,protein_coding,FAM90A12P,11859735,11864962,+,pseudogene,FAM90A12P_4,FAM90A12_3,3010,1.0,0.5758561316242586,True,False,464,0,False,RENAME FAM90A12P_4 to FAM90A12_3
65,chr8,FAM90A12,11876686,11879696,+,protein_coding,FAM90A12P,11875031,11880258,+,pseudogene,FAM90A12P_3,FAM90A12,3010,1.0,0.5758561316242586,True,False,464,0,False,RENAME FAM90A12P_3 to FAM90A12
66,chr8,FAM90A24,12394307,12397317,+,protein_coding,FAM90A24P,12392647,12397879,+,pseudogene,FAM90A24P_1,FAM90A24_3,3010,1.0,0.5753058103975535,True,False,464,0,False,RENAME FAM90A24P_1 to FAM90A24_3
67,chr8,FAM90A24,12401953,12404963,+,protein_coding,FAM90A24P,12400293,12405525,+,pseudogene,FAM90A24P,FAM90A24,3010,1.0,0.5753058103975535,True,False,464,0,False,RENAME FAM90A24P to FAM90A24
68,chr8,FAM90A12,7314524,7317534,-,protein_coding,FAM90A12P,7313962,7319194,-,pseudogene,FAM90A12P_6,FAM90A12_9,3010,1.0,0.5753058103975535,True,False,464,0,False,RENAME FAM90A12P_6 to FAM90A12_9
69,chr8,ZFTRAF1,145619341,145632631,-,protein_coding,CYHR1,145619341,145632631,-,protein_coding,CYHR1,ZFTRAF1,13290,1.0,1.0,True,False,404,404,False,RENAME CYHR1 to ZFTRAF1
70,chr9,SPATA31G1,35061419,35065165,+,protein_coding,C9orf131,35060274,35065165,+,protein_coding,C9orf131,SPATA31G1,3746,1.0,0.7658965446738908,True,False,1079,1079,False,RENAME C9orf131 to SPATA31G1
71,chr9,ZNG1F,42105680,42163687,+,protein_coding,CBWD6,42089304,42163687,+,protein_coding,CBWD6,ZNG1F,58007,1.0,0.7798421682373661,True,False,395,395,False,RENAME CBWD6 to ZNG1F
72,chr9,ZNG1C,80416505,80473721,+,protein_coding,CBWD3,80406861,80473721,+,protein_coding,CBWD3,ZNG1C_1,57216,1.0,0.8557583009273108,True,False,395,270,False,RENAME CBWD3 to ZNG1C_1
73,chr9,ENTREP1,81491871,81559059,+,protein_coding,FAM189A2,81491223,81559059,+,protein_coding,FAM189A2,ENTREP1,67188,1.0,0.9904475499734654,True,False,603,603,False,RENAME FAM189A2 to ENTREP1
74,chr9,ZNG1A,114953,173385,-,protein_coding,CBWD1,114953,173385,-,protein_coding,CBWD1,ZNG1A,58432,1.0,1.0,True,False,395,395,False,RENAME CBWD1 to ZNG1A
75,chr9,BRD10,5924176,6013620,-,protein_coding,KIAA2026,5883999,6013620,-,protein_coding,KIAA2026,BRD10,89444,1.0,0.6900425085441402,True,False,2103,2103,False,RENAME KIAA2026 to BRD10
76,chr9,RIGI,32471227,32542369,-,protein_coding,DDX58,32471227,32542369,-,protein_coding,DDX58,RIGI,71142,1.0,1.0,True,False,925,925,False,RENAME DDX58 to RIGI
77,chr9,SPMIP6,34397509,34416300,-,protein_coding,C9orf24,34397509,34416300,-,protein_coding,C9orf24,SPMIP6,18791,1.0,1.0,True,False,262,299,False,RENAME C9orf24 to SPMIP6
78,chr9,SPATA31F1,34742088,34748523,-,protein_coding,FAM205A,34742088,34748523,-,protein_coding,FAM205A,SPATA31F1,6435,1.0,1.0,True,False,1335,1335,False,RENAME FAM205A to SPATA31F1
79,chr9,SPATA31F3,34908086,34914785,-,protein_coding,FAM205C,34908086,34914785,-,protein_coding,FAM205C,SPATA31F3,6699,1.0,1.0,True,False,208,338,False,RENAME FAM205C to SPATA31F3
80,chr9,ATOSB,35123295,35135050,-,protein_coding,FAM214B,35123295,35135568,-,protein_coding,FAM214B,ATOSB,11755,1.0,0.9577935305141368,True,False,538,538,False,RENAME FAM214B to ATOSB
81,chr9,CIMIP2B,35582504,35584551,-,protein_coding,FAM166B,35582504,35584551,-,protein_coding,FAM166B,CIMIP2B,2047,1.0,1.0,True,False,275,306,False,RENAME FAM166B to CIMIP2B
82,chr9,ZNG1E,40658096,40716224,-,protein_coding,CBWD5,40658096,40739192,-,protein_coding,CBWD5,ZNG1E,58128,1.0,0.7167801124593075,True,False,395,395,False,RENAME CBWD5 to ZNG1E
83,chr9,QNG1,96088591,96107022,-,protein_coding,C9orf64,96088591,96107266,-,protein_coding,C9orf64,QNG1,18431,1.0,0.986934404283802,True,False,341,341,False,RENAME C9orf64 to QNG1
84,chr9,EEIG1,140148362,140188761,-,protein_coding,FAM102A,140148362,140188761,-,protein_coding,FAM102A,EEIG1,40399,1.0,1.0,True,False,384,384,False,RENAME FAM102A to EEIG1
85,chr9,CIMIP2A,149481268,149485420,-,protein_coding,FAM166A,149481268,149492791,-,protein_coding,FAM166A,CIMIP2A,4152,1.0,0.3603228325956782,True,False,317,352,False,RENAME FAM166A to CIMIP2A
86,chr10,GPR15LG,85052266,85063813,+,protein_coding,C10orf99,85052266,85063813,+,protein_coding,C10orf99,GPR15LG,11547,1.0,1.0,True,False,81,132,False,RENAME C10orf99 to GPR15LG
87,chr10,DUSP13B,75967934,75973009,-,protein_coding,DUSP13,75967932,75982690,-,protein_coding,DUSP13,DUSP13B,5075,1.0,0.3438812847269277,True,False,334,417,False,RENAME DUSP13 to DUSP13B
88,chr10,SPMIP5,117558016,117564298,-,protein_coding,C10orf82,117556531,117564614,-,protein_coding,C10orf82,SPMIP5,6282,1.0,0.7771866881108499,True,False,234,317,False,RENAME C10orf82 to SPMIP5
89,chr11,CIMAP1A,237936,241436,+,protein_coding,ODF3,237936,241436,+,protein_coding,ODF3,CIMAP1A,3500,1.0,1.0,True,False,254,254,False,RENAME ODF3 to CIMAP1A
90,chr11,SSU72L5,4298266,4299336,+,protein_coding,SSU72P5,4298327,4298921,+,pseudogene,SSU72P5,SSU72L5,594,0.5551401869158878,1.0,True,False,194,0,False,RENAME SSU72P5 to SSU72L5
91,chr11,SSU72L3,4394877,4395951,+,protein_coding,SSU72P3,4394951,4395536,+,pseudogene,SSU72P3,SSU72L3,585,0.5446927374301676,1.0,True,False,194,0,False,RENAME SSU72P3 to SSU72L3
92,chr11,BMAL1,13370517,13480010,+,protein_coding,ARNTL,13369378,13480010,+,protein_coding,ARNTL,BMAL1,109493,1.0,0.9897046062622026,True,False,626,674,False,RENAME ARNTL to BMAL1
93,chr11,MISFA,18697880,18701975,+,protein_coding,SPTY2D1OS,18697880,18707967,+,protein_coding,SPTY2D1OS,MISFA,4095,1.0,0.4059680777238029,True,False,59,59,False,RENAME SPTY2D1OS to MISFA
94,chr11,SAXO4,61470007,61479841,+,protein_coding,PPP1R32,61470007,61479841,+,protein_coding,PPP1R32,SAXO4,9834,1.0,1.0,True,False,425,425,False,RENAME PPP1R32 to SAXO4
95,chr11,TOP6BL,66741018,66839790,+,protein_coding,C11orf80,66740985,66839790,+,protein_coding,C11orf80,TOP6BL,98772,1.0,0.9996660088052224,True,False,511,677,False,RENAME C11orf80 to TOP6BL
96,chr11,POU2AF3,111308735,111318916,+,protein_coding,COLCA2,111308735,111318916,+,protein_coding,COLCA2,POU2AF3,10181,1.0,1.0,True,False,251,268,False,RENAME COLCA2 to POU2AF3
97,chr11,CFAP68,111889784,111896218,+,protein_coding,C11orf1,111889784,111896218,+,protein_coding,C11orf1,CFAP68,6434,1.0,1.0,True,False,150,166,False,RENAME C11orf1 to CFAP68
98,chr11,NHERF4,119205845,119210583,+,protein_coding,PDZD3,119205845,119210583,+,protein_coding,PDZD3,NHERF4,4738,1.0,1.0,True,False,505,571,False,RENAME PDZD3 to NHERF4
99,chr11,SSU72L2,4306699,4307764,-,protein_coding,SSU72P2,4307114,4307708,-,pseudogene,SSU72P2,SSU72L2,594,0.5577464788732395,1.0,True,False,194,0,False,RENAME SSU72P2 to SSU72L2
100,chr11,SSU72L4,4352158,4353259,-,protein_coding,SSU72P4,4352573,4353167,-,pseudogene,SSU72P4,SSU72L4,594,0.5395095367847411,1.0,True,False,194,0,False,RENAME SSU72P4 to SSU72L4
101,chr11,SSU72L1,4403332,4404432,-,protein_coding,SSU72P7,4403747,4404331,-,pseudogene,SSU72P7,SSU72L1,584,0.5309090909090909,1.0,True,False,194,0,False,RENAME SSU72P7 to SSU72L1
102,chr11,FREY1,46062464,46063201,-,protein_coding,C11orf94,46062464,46063201,-,protein_coding,C11orf94,FREY1,737,1.0,1.0,True,False,98,98,False,RENAME C11orf94 to FREY1
103,chr11,DRC12,119210624,119216213,-,protein_coding,CCDC153,119210624,119216213,-,protein_coding,CCDC153,DRC12,5589,1.0,1.0,True,False,210,210,False,RENAME CCDC153 to DRC12
104,chr12,BMAL2,27204471,27296954,+,protein_coding,ARNTL2,27204471,27296954,+,protein_coding,ARNTL2,BMAL2,92483,1.0,1.0,True,False,636,647,False,RENAME ARNTL2 to BMAL2
105,chr12,REDIC1,39576056,39671757,+,protein_coding,C12orf40,39576056,39858183,+,protein_coding,C12orf40,REDIC1,95701,1.0,0.3392124823217912,True,False,652,652,False,RENAME C12orf40 to REDIC1
106,chr12,SPMIP11,48689465,48727817,+,protein_coding,TEX49,48689465,48733487,+,protein_coding,TEX49,SPMIP11,38352,1.0,0.8712007632547363,True,False,131,131,False,RENAME TEX49 to SPMIP11
107,chr12,TMT1A,50888286,50895782,+,protein_coding,METTL7A,50888286,50895782,+,protein_coding,METTL7A,TMT1A,7496,1.0,1.0,True,False,244,244,False,RENAME METTL7A to TMT1A
108,chr12,TMT1B,55648368,55651240,+,protein_coding,METTL7B,55648368,55651240,+,protein_coding,METTL7B,TMT1B,2872,1.0,1.0,True,False,244,244,False,RENAME METTL7B to TMT1B
109,chr12,RLIG1,88017414,88032038,+,protein_coding,C12orf29,88017414,88032038,+,protein_coding,C12orf29,RLIG1,14624,1.0,1.0,True,False,325,325,False,RENAME C12orf29 to RLIG1
110,chr12,ABTB3,107282040,107623123,+,protein_coding,BTBD11,107282040,107623123,+,protein_coding,BTBD11,ABTB3,341083,1.0,1.0,True,False,1104,1104,False,RENAME BTBD11 to ABTB3
111,chr12,FERRY3,4494524,4545256,-,protein_coding,C12orf4,4494524,4545256,-,protein_coding,C12orf4,FERRY3,50732,1.0,1.0,True,False,552,552,False,RENAME C12orf4 to FERRY3
112,chr12,H4C16,14648070,14648481,-,protein_coding,H4-16,14648070,14648481,-,protein_coding,H4-16,H4C16,411,1.0,1.0,True,False,103,103,False,RENAME H4-16 to H4C16
113,chr12,BLTP3B,99998293,100104109,-,protein_coding,UHRF1BP1L,99998293,100104109,-,protein_coding,UHRF1BP1L,BLTP3B,105816,1.0,1.0,True,False,1464,1464,False,RENAME UHRF1BP1L to BLTP3B
114,chr12,UQCC6,103911904,103918930,-,protein_coding,C12orf73,103911904,103927406,-,protein_coding,C12orf73,UQCC6,7026,1.0,0.4532318410527673,True,False,71,142,False,RENAME C12orf73 to UQCC6
115,chr14,LYSET,87417256,87420404,+,protein_coding,TMEM251,87416913,87420404,+,protein_coding,TMEM251,LYSET,3148,1.0,0.9017473503294186,True,False,163,163,False,RENAME TMEM251 to LYSET
116,chr15,MAPDA,41137979,41161894,+,protein_coding,ADAL,41137658,41161894,+,protein_coding,ADAL,MAPDA,23915,1.0,0.9867552401386368,True,False,355,355,False,RENAME ADAL to MAPDA
117,chr15,AFG2B,43210511,43229587,+,protein_coding,SPATA5L1,43210511,43229587,+,protein_coding,SPATA5L1,AFG2B,19076,1.0,1.0,True,False,753,753,False,RENAME SPATA5L1 to AFG2B
118,chr15,CIMAP1C,73594750,73598397,+,protein_coding,ODF3L1,73594750,73598397,+,protein_coding,ODF3L1,CIMAP1C,3647,1.0,1.0,True,False,274,291,False,RENAME ODF3L1 to CIMAP1C
119,chr15,ENTREP2,26897354,27361792,-,protein_coding,FAM189A1,26895232,27466166,-,protein_coding,FAM189A1,ENTREP2,464438,1.0,0.8134705587686142,True,False,539,615,False,RENAME FAM189A1 to ENTREP2
120,chr15,ATOSA,50389635,50487643,-,protein_coding,FAM214A,50389635,50518064,-,protein_coding,FAM214A,ATOSA,98008,1.0,0.763129822703595,True,False,1076,1083,False,RENAME FAM214A to ATOSA
121,chr15,SKIC8,76145807,76162185,-,protein_coding,WDR61,76145807,76162185,-,protein_coding,WDR61,SKIC8,16378,1.0,1.0,True,False,305,305,False,RENAME WDR61 to SKIC8
