,chromosome,gene_add,start_add,end_add,strand_add,biotype_add,gene_remove,start_remove,end_remove,strand_remove,biotype_remove,ID_remove,ID_add,overlap,overlap_percentage_add,overlap_percentage_remove,synonym,overlapping_in_MANE,gene_add_protein_length,gene_remove_protein_length,gene_remove_in_MANE,action
233,chr9,ZNG1A,114953,173385,-,protein_coding,LOC105375942,122723,129299,-,lncRNA,LOC105375942,ZNG1A,6576,0.1125410733844468,1.0,False,False,395,0,False,ALREADY RESOLVED via synonym update
234,chr9,SPATA31F1,34851154,34857592,-,protein_coding,FAM205BP,34849306,34857624,-,transcribed_pseudogene,FAM205BP,SPATA31F1_1,6438,1.0,0.7739841308006732,False,False,1335,0,False,ALREADY RESOLVED via synonym update
235,chr9,CNTNAP3,39078097,39301584,-,protein_coding,LOC101930090,39113307,39163376,-,pseudogene,LOC101930090,CNTNAP3,50069,0.2240354025066335,1.0,False,False,1288,0,False,REMOVE LOC101930090 and ADD CNTNAP3 since LOC101930090 not in MANE
236,chr9,CNTNAP3,39078097,39301584,-,protein_coding,CNTNAP3C,39170905,39302008,-,protein_coding,CNTNAP3C,CNTNAP3,130679,0.5847275233011316,0.9967659016193374,False,False,1288,514,False,"REMOVE CNTNAP3C, CNTNAP3 already added"
237,chr9,CNTNAP3,39078097,39301584,-,protein_coding,LOC100420438,39274724,39275266,-,pseudogene,LOC100420438,CNTNAP3,542,0.0024251969913238,1.0,False,False,1288,0,False,"REMOVE LOC100420438, CNTNAP3 already added"
238,chr9,ZNG1C,80061576,80119701,-,protein_coding,CBWD4P,80061395,80095397,-,pseudogene,CBWD4P,ZNG1C,33821,0.5818666666666666,0.9946767837186048,False,False,395,0,False,ALREADY RESOLVED via synonym update
239,chr10,MSANTD7,14852271,14860964,+,protein_coding,HSPA14,14852271,14885706,+,protein_coding,HSPA14,MSANTD7,8693,1.0,0.2599970091221774,False,True,361,509,True,KEEP HSPA14 and ADD MSANTD7 since overlapping in MANE
240,chr10,MSANTD7,14852271,14860964,+,protein_coding,LOC100421372,14852271,14860964,+,protein_coding,LOC100421372,MSANTD7,8693,1.0,1.0,False,False,361,361,False,"REMOVE LOC100421372, MSANTD7 already added"
241,chr10,SPADH,123547893,123554537,+,protein_coding,LOC112577516,123547893,123554537,+,protein_coding,LOC112577516,SPADH,6644,1.0,1.0,False,False,137,137,False,REMOVE LOC112577516 and ADD SPADH since LOC112577516 not in MANE
242,chr10,DUSP13A,75979167,75982656,-,protein_coding,DUSP13,75967932,75982690,-,protein_coding,DUSP13,DUSP13A,3489,1.0,0.2364141482585716,False,False,188,417,False,"ADD DUSP13A, DUSP13 already removed"
243,chr11,SSU72L4,4343683,4344784,+,protein_coding,SSU72P6,4343775,4344369,+,pseudogene,SSU72P6,SSU72L4_1,594,0.5395095367847411,1.0,False,False,194,0,False,ALREADY RESOLVED via synonym update
244,chr11,BMAL1,13370517,13480010,+,protein_coding,RN7SKP151,13445972,13446287,+,pseudogene,RN7SKP151,BMAL1,315,0.0028768962399422,1.0,False,False,626,0,False,ALREADY RESOLVED via synonym update
245,chr11,TOP6BL,66741018,66839790,+,protein_coding,RCE1,66839715,66842826,+,protein_coding,RCE1,TOP6BL,75,0.0007593245049204,0.0241080038572806,False,True,511,329,True,ALREADY RESOLVED via synonym update
246,chr11,DEFB130A,71783189,71790566,+,protein_coding,DEFB130C,71783189,71790566,+,pseudogene,DEFB130C,DEFB130A,7377,1.0,1.0,False,False,78,0,False,REMOVE DEFB130C and ADD DEFB130A since DEFB130C not in MANE
247,chr11,OR4F16,113128,114065,-,protein_coding,OR4F2P,113128,114065,-,pseudogene,OR4F2P,OR4F16,937,1.0,1.0,False,False,312,0,False,REMOVE OR4F2P and ADD OR4F16 since OR4F2P not in MANE
248,chr11,DRC12,119210624,119216213,-,protein_coding,SNORD150,119210937,119211011,-,snoRNA,SNORD150,DRC12,74,0.0132402934335301,1.0,False,False,210,0,False,ALREADY RESOLVED via synonym update
249,chr12,BMAL2,27204471,27296954,+,protein_coding,SMCO2,27294986,27373856,+,protein_coding,SMCO2,BMAL2,1968,0.0212795865186034,0.0249524534043362,False,True,636,343,True,ALREADY RESOLVED via synonym update
250,chr12,TMT1A,50888286,50895782,+,protein_coding,HIGD1C,50894384,50935936,+,protein_coding,HIGD1C,TMT1A,1398,0.1864994663820704,0.0336445899114362,False,True,244,158,True,ALREADY RESOLVED via synonym update
251,chr12,ABTB3,107282040,107623123,+,protein_coding,LOC124900324,107338371,107338453,+,snoRNA,LOC124900324,ABTB3,82,0.0002404106918257,1.0,False,False,1104,0,False,ALREADY RESOLVED via synonym update
252,chr12,LOC128071547,120523877,120524137,+,protein_coding,RNF10,120523536,120566717,+,protein_coding,RNF10,LOC128071547,260,1.0,0.006021166716843,False,True,86,816,True,KEEP RNF10 and ADD LOC128071547 since overlapping in MANE
253,chr12,LOC128125814,57485940,57488708,-,protein_coding,DDIT3,57484816,57489926,-,protein_coding,DDIT3,LOC128125814,2768,1.0,0.5416829745596868,False,True,34,208,True,KEEP DDIT3 and ADD LOC128125814 since overlapping in MANE
254,chr12,LOC128125814,57485940,57488708,-,protein_coding,MIR616,57487391,57487487,-,miRNA,MIR616,LOC128125814,96,0.0346820809248554,1.0,False,False,34,0,False,"REMOVE MIR616, LOC128125814 already added"
255,chr12,LOC128125816,122222216,122222350,-,protein_coding,DIABLO,122203450,122223242,-,protein_coding,DIABLO,LOC128125816,134,1.0,0.006770412287793,False,True,44,239,True,KEEP DIABLO and ADD LOC128125816 since overlapping in MANE
256,chr13,PRR20D,56384066,56387086,+,protein_coding,PRR20FP,56385954,56386133,+,pseudogene,PRR20FP,PRR20D,179,0.0592715231788079,1.0,False,False,221,0,False,REMOVE PRR20FP and ADD PRR20D since PRR20FP not in MANE
257,chr13,LOC127898562,76550753,76550836,-,protein_coding,MYCBP2,76268292,76550942,-,protein_coding,MYCBP2,LOC127898562,83,1.0,0.0002936493897045,False,True,27,4797,True,KEEP MYCBP2 and ADD LOC127898562 since overlapping in MANE
258,chr14,OR4N4C,13995713,13996836,+,protein_coding,OR4N1P,13995713,13996877,+,pseudogene,OR4N1P,OR4N4C,1123,1.0,0.9647766323024056,False,False,316,0,False,REMOVE OR4N1P and ADD OR4N4C since OR4N1P not in MANE
259,chr14,POTEG,13713835,13745718,-,protein_coding,POTEM,13709373,13745718,-,protein_coding,POTEM,POTEG,31883,1.0,0.8772320814417389,False,False,545,545,True,"KEEP AS IS since both are in MANE, and POTEM has longer protein sequence"
260,chr14,POTEG,13713835,13745718,-,protein_coding,ACTBP10,13712538,13714265,-,pseudogene,ACTBP10_1,POTEG,430,0.0134868111532791,0.2489866821077012,False,False,545,0,False,REMOVE ACTBP10_1 and ADD POTEG since ACTBP10_1 not in MANE
261,chr14,POTEG,13713835,13745718,-,protein_coding,RNU6-1239P,13734167,13734273,-,pseudogene,RNU6-1239P,POTEG,106,0.0033246557726688,1.0,False,False,545,0,False,"REMOVE RNU6-1239P, POTEG already added"
262,chr15,GOLGA6L24,26330280,26340490,+,protein_coding,LOC645202,26330280,26340490,+,protein_coding,LOC645202,GOLGA6L24,10210,1.0,1.0,False,False,826,826,False,REMOVE LOC645202 and ADD GOLGA6L24 since LOC645202 not in MANE
263,chr15,GOLGA8Q,28345301,28358930,+,protein_coding,GOLGA8R,28345231,28358930,+,protein_coding,GOLGA8R_1,GOLGA8Q,13629,1.0,0.9948901379662748,False,False,631,631,True,"KEEP AS IS since both are in MANE, and GOLGA8R_1 has longer protein sequence"
264,chr15,GOLGA8Q,28345301,28358930,+,protein_coding,LOC100288482,28345428,28345951,+,pseudogene,LOC100288482_1,GOLGA8Q,523,0.0383740553232078,1.0,False,False,631,0,False,REMOVE LOC100288482_1 and ADD GOLGA8Q since LOC100288482_1 not in MANE
265,chr15,GOLGA8Q,28345301,28358930,+,protein_coding,RN7SL196P,28353895,28354185,+,pseudogene,RN7SL196P,GOLGA8Q,290,0.0212781568713772,1.0,False,False,631,0,False,"REMOVE RN7SL196P, GOLGA8Q already added"
266,chr15,LOC128071545,78865787,78865924,+,protein_coding,TLNRD1,78864568,78869433,+,protein_coding,TLNRD1,LOC128071545,137,1.0,0.0281603288797533,False,True,45,362,True,KEEP TLNRD1 and ADD LOC128071545 since overlapping in MANE
267,chr15,OR4F21,99642467,99643404,+,protein_coding,OR4F28P,99642467,99643404,+,pseudogene,OR4F28P,OR4F21,937,1.0,1.0,False,False,312,0,False,REMOVE OR4F28P and ADD OR4F21 since OR4F28P not in MANE
268,chr15,POTEB3,18748387,18783424,-,protein_coding,POTEB,18751950,18783424,-,protein_coding,POTEB,POTEB3,31474,0.898307503496304,1.0,False,False,581,581,True,"KEEP AS IS since both are in MANE, and POTEB has longer protein sequence"
269,chr15,POTEB3,18748387,18783424,-,protein_coding,RNU6-631P,18771805,18771911,-,pseudogene,RNU6-631P,POTEB3,106,0.0030253731769272,1.0,False,False,581,0,False,REMOVE RNU6-631P and ADD POTEB3 since RNU6-631P not in MANE
270,chr15,GOLGA6L26,21060809,21070472,-,protein_coding,LOC102723623,21060809,21070472,-,protein_coding,LOC102723623,GOLGA6L26,9663,1.0,1.0,False,False,648,673,False,REMOVE LOC102723623 and ADD GOLGA6L26 since LOC102723623 not in MANE
271,chr15,GOLGA6L25,26090606,26100826,-,protein_coding,LOC100132202,26090606,26100826,-,protein_coding,LOC100132202,GOLGA6L25,10220,1.0,1.0,False,False,826,826,False,REMOVE LOC100132202 and ADD GOLGA6L25 since LOC100132202 not in MANE
272,chr15,ENTREP2,26897354,27361792,-,protein_coding,LOC100420707,27012052,27013520,-,pseudogene,LOC100420707,ENTREP2,1468,0.0031608094083602,1.0,False,False,539,0,False,ALREADY RESOLVED via synonym update
273,chr15,ENTREP2,26897354,27361792,-,protein_coding,NSMCE3,27043359,27048192,-,protein_coding,NSMCE3,ENTREP2,4833,0.0104061252524556,1.0,False,True,539,304,True,ALREADY RESOLVED via synonym update
274,chr15,LOC128092252,48456849,48493773,-,protein_coding,TRPM7,48365238,48493853,-,protein_coding,TRPM7,LOC128092252,36924,1.0,0.2870893752672705,False,True,129,1910,True,KEEP TRPM7 and ADD LOC128092252 since overlapping in MANE
275,chr15,POLGARF,87085031,87088632,-,protein_coding,POLG,87071147,87089647,-,protein_coding,POLG,POLGARF,3601,1.0,0.1946486486486486,False,True,260,1239,True,KEEP POLG and ADD POLGARF since overlapping in MANE
276,chr16,NPIPA6,16340281,16359022,+,protein_coding,PKD1P1,16315687,16359022,+,transcribed_pseudogene,PKD1P1,NPIPA6,18741,1.0,0.4324679820006923,False,False,369,0,False,REMOVE PKD1P1 and ADD NPIPA6 since PKD1P1 not in MANE
277,chr16,EIF3CL,28992128,29016177,+,protein_coding,EIF3C,28969279,29016311,+,protein_coding,EIF3C_1,EIF3CL,24049,1.0,0.5113327096444974,False,False,913,913,True,"KEEP AS IS since both are in MANE, and EIF3C_1 has longer protein sequence"
278,chr16,EIF3CL,28992128,29016177,+,protein_coding,MIR6862-2,29004923,29004992,+,miRNA,MIR6862-2,EIF3CL,69,0.0028691421680735,1.0,False,False,913,0,False,REMOVE MIR6862-2 and ADD EIF3CL since MIR6862-2 not in MANE
279,chr16,CHD9NB,58839219,58850614,-,protein_coding,LOC105371267,58833426,58850614,-,protein_coding,LOC105371267,CHD9NB,11395,1.0,0.6629625319990691,False,False,52,52,False,REMOVE LOC105371267 and ADD CHD9NB since LOC105371267 not in MANE
280,chr16,LOC128462377,95397355,95498845,-,protein_coding,ANKRD11,95347957,95571214,-,protein_coding,ANKRD11,LOC128462377,101490,1.0,0.4545882100001344,False,True,12,2663,True,KEEP ANKRD11 and ADD LOC128462377 since overlapping in MANE
281,chr17,KRTAP9-6,42103803,42104282,+,protein_coding,KRTAP9-11P,42103769,42104475,+,pseudogene,KRTAP9-11P,KRTAP9-6,479,1.0,0.6784702549575071,False,False,159,0,False,REMOVE KRTAP9-11P and ADD KRTAP9-6 since KRTAP9-11P not in MANE
282,chr17,NHERF1,75640506,75661228,+,protein_coding,MIR3615,75640491,75640577,+,miRNA,MIR3615,NHERF1,71,0.0034263102017179,0.8255813953488372,False,False,358,0,False,ALREADY RESOLVED via synonym update
283,chr17,IGBP1C,59528282,59559911,-,protein_coding,TEX14,59424548,59559911,-,protein_coding,TEX14,IGBP1C,31629,1.0,0.2336606014937612,False,True,340,1497,True,ALREADY RESOLVED via synonym update
284,chr17,IGBP1C,59528282,59559911,-,protein_coding,RNU1-108P,59534394,59534554,-,pseudogene,RNU1-108P,IGBP1C,160,0.0050586487084637,1.0,False,False,340,0,False,ALREADY RESOLVED via synonym update
285,chr17,IGBP1C,59528282,59559911,-,protein_coding,RNU1-52P,59545430,59545593,-,pseudogene,RNU1-52P,IGBP1C,163,0.0051534983717474,1.0,False,False,340,0,False,ALREADY RESOLVED via synonym update
286,chr17,IGBP1C,59528282,59559911,-,protein_coding,RNVU1-34,59547392,59547555,-,pseudogene,RNVU1-34,IGBP1C,163,0.0051534983717474,1.0,False,False,340,0,False,ALREADY RESOLVED via synonym update
287,chr17,TBC1D3C,60876852,60887809,-,protein_coding,TBC1D3P1-DHX40P1,60831099,60887781,-,transcribed_pseudogene,TBC1D3P1-DHX40P1,TBC1D3C,10929,0.9974445559916036,0.1928125330792844,False,False,564,0,False,REMOVE TBC1D3P1-DHX40P1 and ADD TBC1D3C since TBC1D3P1-DHX40P1 not in MANE
288,chr17,TBC1D3C,60876852,60887809,-,protein_coding,TBC1D3P1,60876669,60887781,-,pseudogene,TBC1D3P1,TBC1D3C,10929,0.9974445559916036,0.9835313174946004,False,False,564,0,False,"REMOVE TBC1D3P1, TBC1D3C already added"
289,chr19,OR4F21,107442,108379,-,protein_coding,OR4F8P,107445,108379,-,pseudogene,OR4F8P,OR4F21_2,934,0.9967982924226254,1.0,False,False,312,0,False,REMOVE OR4F8P and ADD OR4F21_2 since OR4F8P not in MANE
290,chr19,SMIM46,14238936,14239088,-,protein_coding,PRKACA,14218299,14244374,-,protein_coding,PRKACA,SMIM46,152,1.0,0.0058293384467881,False,True,50,427,True,KEEP PRKACA and ADD SMIM46 since overlapping in MANE
291,chr19,CIST1,18384118,18389460,-,protein_coding,LOC729966,18384034,18389517,-,protein_coding,LOC729966,CIST1,5342,1.0,0.9742841510122195,False,False,234,234,False,REMOVE LOC729966 and ADD CIST1 since LOC729966 not in MANE
292,chr19,SAXO3,52012741,52015325,-,protein_coding,LHB,52010754,52014273,-,protein_coding,LHB,SAXO3,1532,0.5928792569659442,0.4353509519749929,False,True,334,157,True,KEEP LHB and ADD SAXO3 since overlapping in MANE
293,chr19,SAXO3,52012741,52015325,-,protein_coding,LOC101059948,52012741,52015325,-,protein_coding,LOC101059948,SAXO3,2584,1.0,1.0,False,False,334,334,False,"REMOVE LOC101059948, SAXO3 already added"
294,chr19,SMIM47,53875222,53875654,-,protein_coding,LOC105372440,53875222,53875654,-,protein_coding,LOC105372440,SMIM47,432,1.0,1.0,False,False,28,28,False,REMOVE LOC105372440 and ADD SMIM47 since LOC105372440 not in MANE
295,chr20,LOC128706665,10456718,10477226,-,protein_coding,MKKS,10444020,10477226,-,protein_coding,MKKS,LOC128706665,20508,1.0,0.6175992290549901,False,True,63,570,True,KEEP MKKS and ADD LOC128706665 since overlapping in MANE
296,chr20,LOC128706666,10456718,10477226,-,protein_coding,MKKS,10444020,10477226,-,protein_coding,MKKS,LOC128706666,20508,1.0,0.6175992290549901,False,True,50,570,True,KEEP MKKS and ADD LOC128706666 since overlapping in MANE
297,chr21,CRYAA,41560102,41563900,+,protein_coding,LOC102724652,41498596,41563900,+,protein_coding,LOC102724652,CRYAA,3798,1.0,0.0581587651598677,False,False,173,173,False,REMOVE LOC102724652 and ADD CRYAA since LOC102724652 not in MANE
298,chr21,TRAPPC10,42367933,42462167,+,protein_coding,LOC102724200,42452202,42461892,+,protein_coding,LOC102724200,TRAPPC10,9690,0.102829127491139,1.0,False,False,1259,245,False,REMOVE LOC102724200 and ADD TRAPPC10 since LOC102724200 not in MANE
299,chr21,PWP2,42463009,42486796,+,protein_coding,LOC102724159,42463009,42486796,+,protein_coding,LOC102724159,PWP2,23787,1.0,1.0,False,False,919,919,False,REMOVE LOC102724159 and ADD PWP2 since LOC102724159 not in MANE
300,chr21,GATD3,42489298,42501326,+,protein_coding,LOC102724023,42489298,42501326,+,protein_coding,LOC102724023,GATD3,12028,1.0,1.0,False,False,268,268,False,REMOVE LOC102724023 and ADD GATD3 since LOC102724023 not in MANE
301,chr21,LOC128092249,44711641,44711844,+,protein_coding,PCNT,44709501,44831895,+,protein_coding,PCNT,LOC128092249,203,1.0,0.0016585780348709,False,True,67,3376,True,KEEP PCNT and ADD LOC128092249 since overlapping in MANE
302,chr21,KCNE1,32829245,32894776,-,protein_coding,LOC124900475,32838670,32838797,-,snoRNA,LOC124900475,KCNE1,127,0.0019380140696769,1.0,False,False,129,0,False,REMOVE LOC124900475 and ADD KCNE1 since LOC124900475 not in MANE
303,chr21,KCNE1,32829245,32894776,-,protein_coding,LOC105379505,32866580,32869585,-,lncRNA,LOC105379505,KCNE1,3005,0.0458561596801513,1.0,False,False,129,0,False,"REMOVE LOC105379505, KCNE1 already added"
304,chr21,CBS,41444310,41466951,-,protein_coding,LOC102724560,41444310,41468059,-,protein_coding,LOC102724560,CBS,22641,1.0,0.9533454040170112,False,False,551,568,False,REMOVE LOC102724560 and ADD CBS since LOC102724560 not in MANE
305,chr21,U2AF1,41484016,41498641,-,protein_coding,LOC102724594,41484016,41498641,-,protein_coding,LOC102724594,U2AF1,14625,1.0,1.0,False,False,240,240,False,REMOVE LOC102724594 and ADD U2AF1 since LOC102724594 not in MANE
306,chr21,SIK1,41769738,41782385,-,protein_coding,LOC102724428,41769738,41782385,-,protein_coding,LOC102724428,SIK1,12647,1.0,1.0,False,False,783,783,False,REMOVE LOC102724428 and ADD SIK1 since LOC102724428 not in MANE
307,chr22,FAM246B,19404891,19405586,+,protein_coding,DGCR5,19345862,19406582,+,lncRNA,DGCR5,FAM246B,695,1.0,0.0114459815546772,False,False,231,0,False,REMOVE DGCR5 and ADD FAM246B since DGCR5 not in MANE
308,chr22,FAM246B,19404891,19405586,+,protein_coding,FAM246C,19404891,19405586,+,protein_coding,FAM246C,FAM246B,695,1.0,1.0,False,False,231,231,False,"REMOVE FAM246C, FAM246B already added"
309,chr22,TMEM191B,21110537,21113315,+,protein_coding,TMEM191A,21109823,21113312,+,transcribed_pseudogene,TMEM191A,TMEM191B,2775,0.9989200863930886,0.7953568357695615,False,False,349,0,False,REMOVE TMEM191A and ADD TMEM191B since TMEM191A not in MANE
310,chr22,RIMBP3,21796920,21803024,+,protein_coding,RIMBP3B,21797297,21803024,+,protein_coding,RIMBP3B,RIMBP3,5727,0.9382372214941024,1.0,False,False,1639,1639,True,"KEEP AS IS since both are in MANE, and RIMBP3B has longer protein sequence"
311,chr22,RIMBP3,21796920,21803024,+,protein_coding,RN7SKP63,21802737,21802974,+,pseudogene,RN7SKP63,RIMBP3,237,0.038826998689384,1.0,False,False,1639,0,False,REMOVE RN7SKP63 and ADD RIMBP3 since RN7SKP63 not in MANE
312,chr22,MIURF,39974860,39975072,+,protein_coding,MIEF1,39970729,39988762,+,protein_coding,MIEF1,MIURF,212,1.0,0.0117562246991626,False,True,70,478,True,KEEP MIEF1 and ADD MIURF since overlapping in MANE
313,chr22,TMA7B,40431389,40435898,+,protein_coding,GRAP2,40364808,40444710,+,protein_coding,GRAP2,TMA7B,4509,1.0,0.0564316287452128,False,True,64,330,True,KEEP GRAP2 and ADD TMA7B since overlapping in MANE
314,chr22,TMA7B,40431389,40435898,+,protein_coding,LOC112268293,40431389,40435898,+,protein_coding,LOC112268293,TMA7B,4509,1.0,1.0,False,False,64,64,False,"REMOVE LOC112268293, TMA7B already added"
315,chrX,LOC127933115,23366961,23367050,+,protein_coding,SAT1,23366856,23369893,+,protein_coding,SAT1,LOC127933115,89,1.0,0.0293052354297003,False,True,29,206,True,KEEP SAT1 and ADD LOC127933115 since overlapping in MANE
316,chrX,GAGE12G,48762471,48769798,+,protein_coding,GAGE12B,48762487,48912657,+,protein_coding,GAGE12B,GAGE12G,7311,0.9978162958919068,0.0486848238662848,False,False,117,117,False,REMOVE GAGE12B and ADD GAGE12G since GAGE12B not in MANE
317,chrX,GAGE12D,48771996,48779324,+,protein_coding,GAGE12B,48762487,48912657,+,protein_coding,GAGE12B,GAGE12D,7328,1.0,0.0487980289005793,False,False,117,117,False,"ADD GAGE12D, GAGE12B already removed"
318,chrX,GAGE12E,48791047,48798358,+,protein_coding,GAGE12B,48762487,48912657,+,protein_coding,GAGE12B,GAGE12E,7311,1.0,0.0486848238662848,False,False,117,117,False,"ADD GAGE12E, GAGE12B already removed"
319,chrX,GAGE12H,48800557,48807869,+,protein_coding,GAGE12B,48762487,48912657,+,protein_coding,GAGE12B,GAGE12H,7312,1.0,0.0486914829859492,False,False,117,117,False,"ADD GAGE12H, GAGE12B already removed"
320,chrX,GAGE12C,48829085,48836395,+,protein_coding,GAGE12B,48762487,48912657,+,protein_coding,GAGE12B,GAGE12C,7310,1.0,0.0486781647466205,False,False,117,117,False,"ADD GAGE12C, GAGE12B already removed"
321,chrX,GAGE13,48848151,48855474,+,protein_coding,GAGE12B,48762487,48912657,+,protein_coding,GAGE12B,GAGE13,7323,1.0,0.0487647333022574,False,False,116,117,False,"ADD GAGE13, GAGE12B already removed"
322,chrX,GPRASP3,101165692,101198489,+,protein_coding,ARMCX5-GPRASP2,101044303,101353019,+,protein_coding,ARMCX5-GPRASP2,GPRASP3,32797,1.0,0.1062368001658482,False,False,547,838,False,ALREADY RESOLVED via synonym update
323,chrX,TMSB15C,102403657,102407006,+,protein_coding,LOC122394733,102403657,102407006,+,protein_coding,LOC122394733,TMSB15C,3349,1.0,1.0,False,False,45,45,False,REMOVE LOC122394733 and ADD TMSB15C since LOC122394733 not in MANE
324,chrX,CT47C1,117450728,117454500,+,protein_coding,LOC727838,117450728,117454503,+,protein_coding,LOC727838,CT47C1,3772,1.0,0.999205298013245,False,False,324,324,False,REMOVE LOC727838 and ADD CT47C1 since LOC727838 not in MANE
325,chrX,HAPSTR2,138403603,138404836,+,protein_coding,LOC389895,138403603,138404836,+,protein_coding,LOC389895,HAPSTR2,1233,1.0,1.0,False,False,273,273,False,REMOVE LOC389895 and ADD HAPSTR2 since LOC389895 not in MANE
326,chrX,LOC128031833,62179759,62179938,-,protein_coding,ARHGEF9,62060231,62210488,-,protein_coding,ARHGEF9,LOC128031833,179,1.0,0.0011912922526071,False,True,59,529,True,KEEP ARHGEF9 and ADD LOC128031833 since overlapping in MANE
327,chrX,GK3,100223302,100225198,-,protein_coding,GK4P,100223065,100225252,-,pseudogene,GK4P,GK3_2,1896,1.0,0.8669410150891632,False,False,553,0,False,ALREADY RESOLVED via synonym update
328,chrX,GNG5B,108794364,108794883,-,protein_coding,AMMECR1,108642094,108888143,-,protein_coding,AMMECR1,GNG5B,519,1.0,0.0021093359452791,False,True,68,333,True,ALREADY RESOLVED via synonym update
329,chrX,CT47A6,119253165,119256487,-,protein_coding,CT47A12,119253165,119275928,-,protein_coding,CT47A12,CT47A6,3322,1.0,0.1459385845450951,False,False,288,303,False,REMOVE CT47A12 and ADD CT47A6 since CT47A12 not in MANE
330,chrX,CT47A5,119258026,119261348,-,protein_coding,CT47A12,119253165,119275928,-,protein_coding,CT47A12,CT47A5,3322,1.0,0.1459385845450951,False,False,288,303,False,"ADD CT47A5, CT47A12 already removed"
331,chrX,CT47A4,119262886,119266208,-,protein_coding,CT47A12,119253165,119275928,-,protein_coding,CT47A12,CT47A4,3322,1.0,0.1459385845450951,False,False,288,303,False,"ADD CT47A4, CT47A12 already removed"
332,chrX,CT47A3,119267746,119271068,-,protein_coding,CT47A12,119253165,119275928,-,protein_coding,CT47A12,CT47A3,3322,1.0,0.1459385845450951,False,False,288,303,False,"ADD CT47A3, CT47A12 already removed"
333,chrX,CT47A8,119272606,119275928,-,protein_coding,CT47A12,119253165,119275928,-,protein_coding,CT47A12,CT47A8,3322,1.0,0.1459385845450951,False,False,288,303,False,"ADD CT47A8, CT47A12 already removed"
334,chrX,CT45A2,134120072,134128412,-,protein_coding,CT45A5,134118786,134128440,-,protein_coding,CT45A5,CT45A2,8340,1.0,0.8638906152889994,False,False,189,189,True,"KEEP AS IS since both are in MANE, and CT45A5 has longer protein sequence"
335,chrY,RBMY1B,22386600,22401038,+,protein_coding,RBMY1A1,22386600,22401038,+,protein_coding,RBMY1A1_1,RBMY1B,14438,1.0,1.0,False,False,0,496,True,"KEEP AS IS since both are in MANE, and RBMY1A1_1 has longer protein sequence"
